brand,operating_system,RAM_nth,storage_nth,storage_type,cpu_benchmark,gpu_class,screen_size,PPI,warranty,refurbished,price
HP,CHROMEOS,2,5,EMMC,1902,4,11.6,127,1,NO,233.49
HP,CHROMEOS,2,5,EMMC,1902,4,11.6,127,1,NO,237.49
ASUS,CHROMEOS,3,5,EMMC,1115,4,14,157,0,NO,319.99
ACER,CHROMEOS,2,5,EMMC,1902,4,11.6,127,1,NO,232.99
CHILLBLAST,WINDOWS,4,8.965784285,SSD,27127,2,16,184,3,NO,1499.99
APPLE,MACOS,3,9,SSD,15180,3,13.6,224,1,NO,1449
LENOVO,WINDOWS,3,9,SSD,17163,2,15.6,141,1,NO,929.99
LENOVO,WINDOWS,4,9,SSD,21366,2,15.6,141,1,NO,1129.99
AVITA,WINDOWS,3,9,SSD,7276,3,14,157,1,NO,566.88
ASUS,WINDOWS,3,9,SSD,18984,2,15.6,141,1,NO,649.97
LENOVO,WINDOWS,3,9,SSD,11024,2,15.6,141,1,NO,599.97
ACER,WINDOWS,3,9,SSD,13181,2,15.6,141,1,NO,599.97
MEDION,WINDOWS,3,9,SSD,8656,2,15.6,141,2,NO,559.99
ASUS,WINDOWS,3,9,SSD,14711,2,15.6,141,1,NO,549.97
LENOVO,WINDOWS,3,9,SSD,17163,2,15.6,141,1,NO,649.99
ASUS,WINDOWS,3,9,SSD,11024,2,14,216,1,NO,699.99
LENOVO,WINDOWS,3,9,SSD,17163,2,15.6,141,1,NO,649.97
MEDION,WINDOWS,3,9,SSD,8656,2,15.6,141,2,NO,599.99
RAZER,WINDOWS,4,9,SSD,10505,2,13.3,166,1,NO,1779.99
HP,WINDOWS,3,9,SSD,8656,2,15.6,141,1,NO,789.99
LENOVO,WINDOWS,3,9,SSD,20179,2,15.6,141,1,NO,899.97
ASUS,WINDOWS,3,9,SSD,14711,2,15.6,141,1,NO,649.97
ASUS,WINDOWS,3,9,SSD,11024,2,15.6,141,0,NO,649.97
ASUS,WINDOWS,3,9,SSD,11024,2,15.6,141,1,NO,649.97
ACER,WINDOWS,3,9,SSD,11024,2,15.6,141,1,NO,649.97
